Oil,SteamINJ,SolutionGas,Method,Region,k_14
5217,860,551.3,CSS,Peace River,12
5331,46,1276.2,SAGD,Cold Lake,11
5376,1050,768.3,CSS,Peace River,14
6567,1067,1141.7,CSS,Peace River,14
7803,283,117.4,SAGD,Athabasca,13
8064,1040,921.4,CSS,Peace River,14
8896,93,1163.7,CSS,Peace River,11
9116,244,18.3,SAGD,Athabasca,11
9554,1006,874.1,CSS,Peace River,14
9765,2,19.5,SAGD,Athabasca,11
10513,1109,889.3,CSS,Peace River,14
10516,192,1169.8,CSS,Peace River,11
10809,116,97.3,SAGD,Athabasca,11
11054,147,55.3,SAGD,Athabasca,11
11062,1026,271.5,SAGD,Athabasca,14
12920,276,1212.3,CSS,Peace River,13
15314,350,1153.5,CSS,Peace River,13
15538,1096,1297,CSS,Peace River,14
16340,191,1169.8,CSS,Peace River,11
16538,153,82.8,SAGD,Athabasca,11
16598,33,1199.5,SAGD,Cold Lake,11
16732,904,16.7,SAGD,Athabasca,12
16739,995,16.7,SAGD,Athabasca,14
17113,95,1188.8,CSS,Peace River,11
18048,225,1634.9,CSS,Peace River,11
18584,524,591.2,SAGD,Athabasca,7
18831,1085,1064.3,CSS,Peace River,14
19076,299,1784.9,CSS,Peace River,13
19269,311,850.7,CSS,Peace River,13
19871,227,1598.6,CSS,Peace River,11
19876,306,1937.3,CSS,Peace River,13
20179,318,2037.1,CSS,Peace River,13
20231,175,1381.8,CSS,Peace River,11
20307,239,1403,CSS,Peace River,11
20424,159,713.8,CSS,Peace River,11
20659,379,1526.1,CSS,Peace River,13
20863,168,1459.9,CSS,Peace River,11
21077,19,1780.3,CSS,Peace River,11
21362,66,341.3,SAGD,Athabasca,11
21424,7,1539.8,CSS,Peace River,11
21504,345,1663,CSS,Peace River,13
21905,130,151,SAGD,Athabasca,11
22009,650,228.5,SAGD,Athabasca,7
22378,18,1642,CSS,Peace River,11
22455,101,1888.2,CSS,Peace River,11
22863,1127,1919.4,CSS,Peace River,14
22884,1010,1220.3,SAGD,Cold Lake,14
22905,173,114.5,SAGD,Athabasca,11
22957,32,1908.9,CSS,Peace River,11
23082,207,232.6,SAGD,Athabasca,11
23279,25,1868,CSS,Peace River,11
23654,148,250.8,SAGD,Athabasca,11
23782,158,118.9,SAGD,Athabasca,11
23910,50,1696.1,CSS,Peace River,11
24006,47,1938.2,CSS,Peace River,11
24142,11,1570.8,CSS,Peace River,11
24515,113,561.6,SAGD,Athabasca,11
24533,40,2070,CSS,Peace River,11
24625,83,2040,CSS,Peace River,11
24730,39,2074.5,CSS,Peace River,11
24781,59,1861.3,CSS,Peace River,11
24979,313,50,SAGD,Athabasca,13
25058,14,1638.7,CSS,Peace River,11
25092,42,1845.7,CSS,Peace River,11
25152,16,1543.8,CSS,Peace River,11
25220,89,2037.8,CSS,Peace River,11
25230,43,2008.9,CSS,Peace River,11
25483,69,1845.8,CSS,Peace River,11
25513,102,2106.3,CSS,Peace River,11
25585,152,1766.4,CSS,Peace River,11
25746,76,1954.8,CSS,Peace River,11
26122,58,2113.5,CSS,Peace River,11
26416,100,2182.2,CSS,Peace River,11
26425,71,2184.4,CSS,Peace River,11
26742,81,2206.5,CSS,Peace River,11
26769,94,2229,CSS,Peace River,11
26788,65,2192,CSS,Peace River,11
27077,202,1762,CSS,Peace River,11
27244,48,1209.4,SAGD,Cold Lake,11
27644,55,2153.9,CSS,Peace River,11
28134,149,1612.9,CSS,Peace River,11
29156,1118,1718.8,CSS,Peace River,14
29674,1105,29.7,SAGD,Athabasca,14
29991,997,263.2,SAGD,Athabasca,14
31090,154,62.2,SAGD,Athabasca,11
31097,550,62.2,SAGD,Athabasca,7
31249,87,1923.1,CSS,Peace River,11
31258,732,424.1,SAGD,Athabasca,7
31372,674,62.8,SAGD,Athabasca,7
32004,572,64.1,SAGD,Athabasca,7
32006,482,64.1,SAGD,Athabasca,13
32068,1083,1117.3,SAGD,Cold Lake,14
32100,182,309.6,SAGD,Athabasca,11
32123,127,1085.6,SAGD,Cold Lake,11
32323,146,966.2,SAGD,Cold Lake,11
32447,142,1593.5,SAGD,Cold Lake,11
32593,211,65.2,SAGD,Athabasca,11
32641,129,1724.4,SAGD,Cold Lake,11
32787,234,65.6,SAGD,Athabasca,11
32886,117,1043,SAGD,Cold Lake,11
33081,633,66.2,SAGD,Athabasca,7
33492,278,167.5,SAGD,Athabasca,13
33634,280,168.2,SAGD,Athabasca,13
33677,733,67.4,SAGD,Athabasca,7
33837,273,169.2,SAGD,Athabasca,13
33932,686,67.9,SAGD,Athabasca,7
33974,264,68,SAGD,Athabasca,13
34410,164,1243.2,SAGD,Cold Lake,11
34557,198,1142.6,SAGD,Cold Lake,11
34593,162,1080.7,SAGD,Cold Lake,11
34624,186,1137.9,SAGD,Cold Lake,11
35088,628,70.4,SAGD,Athabasca,7
35297,654,71,SAGD,Athabasca,7
35519,172,1398.3,SAGD,Cold Lake,11
35586,156,1230.2,SAGD,Cold Lake,11
35697,226,71.4,SAGD,Athabasca,11
35777,41,1106.3,SAGD,Cold Lake,11
35912,215,1063.2,SAGD,Cold Lake,11
35966,347,1089.9,SAGD,Athabasca,13
36038,169,1602.8,SAGD,Cold Lake,11
36043,144,2272.7,SAGD,Cold Lake,11
36043,585,72.2,SAGD,Athabasca,7
36379,528,73.1,SAGD,Athabasca,7
36715,252,183.6,SAGD,Athabasca,11
36771,540,73.7,SAGD,Athabasca,7
36873,143,504.9,SAGD,Cold Lake,11
37003,177,150.3,SAGD,Athabasca,11
37033,321,74.1,SAGD,Athabasca,13
37128,635,74.3,SAGD,Athabasca,7
37180,305,663.8,SAGD,Cold Lake,13
37204,260,1023.2,SAGD,Cold Lake,11
37220,375,74.4,SAGD,Athabasca,13
37308,312,74.7,SAGD,Athabasca,13
37406,180,1127,SAGD,Cold Lake,11
37461,342,74.9,SAGD,Athabasca,13
37654,185,987.5,SAGD,Cold Lake,11
37758,206,1115.8,SAGD,Cold Lake,11
37878,118,1894.4,SAGD,Cold Lake,11
38054,533,76.5,SAGD,Athabasca,7
38057,843,756.6,SAGD,Athabasca,12
38085,138,568.7,SAGD,Cold Lake,11
38339,161,604.5,SAGD,Cold Lake,11
38772,534,660.4,SAGD,Athabasca,7
38980,240,78,SAGD,Athabasca,11
39010,391,78,SAGD,Athabasca,13
39085,275,516.8,SAGD,Cold Lake,13
39115,106,1632.8,SAGD,Cold Lake,11
39272,204,225,SAGD,Cold Lake,11
39502,253,803.4,SAGD,Athabasca,11
39669,352,79.3,SAGD,Athabasca,13
39953,328,475.5,SAGD,Cold Lake,13
40390,560,297.7,SAGD,Athabasca,7
40530,372,81.1,SAGD,Athabasca,13
40895,163,772.6,SAGD,Cold Lake,11
40988,377,82,SAGD,Athabasca,13
41059,293,82.2,SAGD,Athabasca,13
41095,304,82.2,SAGD,Athabasca,13
41105,84,67.7,SAGD,Cold Lake,11
41139,388,82.3,SAGD,Athabasca,13
41353,395,82.7,SAGD,Athabasca,13
41517,1045,2230.4,SAGD,Cold Lake,14
41530,691,160.8,SAGD,Athabasca,7
41553,392,83.1,SAGD,Athabasca,13
41574,411,882.3,SAGD,Athabasca,13
41601,541,241.7,SAGD,Athabasca,7
41650,634,83.5,SAGD,Athabasca,7
41711,317,83.4,SAGD,Athabasca,13
42032,387,84.1,SAGD,Athabasca,13
42065,422,84.1,SAGD,Athabasca,13
42220,529,84.7,SAGD,Athabasca,7
42504,365,85,SAGD,Athabasca,13
42518,104,1582.2,SAGD,Cold Lake,11
42568,604,830.2,SAGD,Athabasca,7
42717,24,2167.4,SAGD,Cold Lake,11
42741,425,85.5,SAGD,Athabasca,13
42758,415,85.5,SAGD,Athabasca,13
42881,10,1731.9,SAGD,Cold Lake,11
43072,247,851.1,SAGD,Cold Lake,11
43136,368,86.3,SAGD,Athabasca,13
43178,442,86.4,SAGD,Athabasca,13
43294,320,86.6,SAGD,Athabasca,13
43308,359,86.6,SAGD,Athabasca,13
43353,241,685.7,SAGD,Cold Lake,11
43395,155,252.5,SAGD,Athabasca,11
43441,358,86.9,SAGD,Athabasca,13
43516,440,87,SAGD,Athabasca,13
43640,376,87.3,SAGD,Athabasca,13
43736,187,654.3,SAGD,Cold Lake,11
43868,439,87.8,SAGD,Athabasca,13
43871,265,387.2,SAGD,Cold Lake,13
43985,385,88,SAGD,Athabasca,13
44045,452,88.1,SAGD,Athabasca,13
44184,447,932.9,SAGD,Athabasca,13
44253,721,586.6,SAGD,Athabasca,7
44474,360,88.9,SAGD,Athabasca,13
44816,468,89.7,SAGD,Athabasca,13
45004,383,90.1,SAGD,Athabasca,13
45027,434,90.1,SAGD,Athabasca,13
45110,195,1002.8,SAGD,Cold Lake,11
45180,426,90.4,SAGD,Athabasca,13
45241,437,90.5,SAGD,Athabasca,13
45330,200,1123,SAGD,Cold Lake,11
45376,430,90.8,SAGD,Athabasca,13
45929,696,2561.5,SAGD,Cold Lake,7
45929,461,1207.5,SAGD,Athabasca,13
46066,160,322.2,SAGD,Athabasca,11
46096,446,92.2,SAGD,Athabasca,13
46097,218,221.8,SAGD,Athabasca,11
46187,13,2296,SAGD,Cold Lake,11
46216,344,1174.6,SAGD,Cold Lake,13
46438,865,241.7,SAGD,Athabasca,12
46522,448,93.1,SAGD,Athabasca,13
46620,701,1027,SAGD,Athabasca,7
46830,451,93.7,SAGD,Athabasca,13
47268,459,94.5,SAGD,Athabasca,13
47437,236,1172,SAGD,Cold Lake,11
47620,480,1201.6,SAGD,Athabasca,13
47708,472,95.4,SAGD,Athabasca,13
47733,444,95.5,SAGD,Athabasca,13
47803,494,1205.3,SAGD,Athabasca,13
47949,515,1499.6,SAGD,Athabasca,7
48165,497,96.4,SAGD,Athabasca,13
48309,531,1530.9,SAGD,Athabasca,7
48395,520,1092.7,SAGD,Athabasca,7
48514,790,451.6,SAGD,Athabasca,12
49224,553,1077.8,SAGD,Athabasca,7
49361,575,1396.5,SAGD,Athabasca,7
49966,840,2684.3,SAGD,Cold Lake,12
50073,579,1317.7,SAGD,Athabasca,7
50662,788,2757.5,SAGD,Cold Lake,12
50985,839,2702.1,SAGD,Cold Lake,12
51204,613,1516.5,SAGD,Athabasca,7
51217,563,1317.2,SAGD,Athabasca,7
51389,598,1377.7,SAGD,Athabasca,7
51404,768,1765.3,SAGD,Cold Lake,12
51880,600,1555.3,SAGD,Athabasca,7
52674,574,2202.1,SAGD,Athabasca,7
53308,587,2290.5,SAGD,Athabasca,7
53487,599,1230.8,SAGD,Athabasca,7
53919,363,1375.7,SAGD,Cold Lake,13
54053,582,1444.8,SAGD,Athabasca,7
54788,597,1507.9,SAGD,Athabasca,7
55969,250,962.3,SAGD,Athabasca,11
56321,659,1987.4,SAGD,Athabasca,7
56603,544,1322.4,SAGD,Athabasca,7
56814,665,1563.5,SAGD,Athabasca,7
57138,828,2615.5,SAGD,Cold Lake,12
57341,75,1323,SAGD,Cold Lake,11
57709,217,207.9,SAGD,Athabasca,11
58466,666,1707.3,SAGD,Athabasca,7
58796,652,1632.4,SAGD,Athabasca,7
58817,629,1377.7,SAGD,Athabasca,7
58854,888,439.3,SAGD,Athabasca,12
58953,657,1456.6,SAGD,Athabasca,7
59285,610,1415.3,SAGD,Athabasca,7
59326,639,1630.9,SAGD,Athabasca,7
59504,627,1763,SAGD,Athabasca,7
59608,625,1316.5,SAGD,Athabasca,7
59944,353,216.7,SAGD,Athabasca,13
60267,255,268.9,SAGD,Athabasca,11
60425,747,2482.5,SAGD,Cold Lake,12
60797,648,1758.3,SAGD,Athabasca,7
60927,438,278.2,SAGD,Athabasca,13
61371,620,1624.2,SAGD,Athabasca,7
62106,636,982.8,SAGD,Athabasca,7
62159,669,2067.1,SAGD,Athabasca,7
62383,684,1556.8,SAGD,Athabasca,7
62494,661,1314.8,SAGD,Athabasca,7
62526,702,779.9,SAGD,Cold Lake,7
63176,678,1978.8,SAGD,Athabasca,7
63834,644,2143.4,SAGD,Athabasca,7
64270,290,443.4,SAGD,Cold Lake,13
64770,647,1482.7,SAGD,Athabasca,7
64904,662,1541.9,SAGD,Athabasca,7
65062,667,1304.4,SAGD,Athabasca,7
65317,536,1665.8,SAGD,Athabasca,7
65641,630,1589.7,SAGD,Athabasca,7
66380,114,1955.1,SAGD,Cold Lake,11
66572,110,2173.9,SAGD,Cold Lake,11
66585,466,1786.8,SAGD,Cold Lake,13
66623,607,1198.6,SAGD,Athabasca,7
66643,263,871.4,SAGD,Cold Lake,13
66876,322,869.1,SAGD,Cold Lake,13
66986,137,2358.7,SAGD,Cold Lake,11
67345,323,431.6,SAGD,Cold Lake,13
67393,394,252,SAGD,Athabasca,13
67747,223,2281.9,SAGD,Cold Lake,11
68003,895,494.9,SAGD,Athabasca,12
68241,338,68.2,SAGD,Athabasca,13
68499,428,293.4,SAGD,Cold Lake,13
68558,675,1621.6,SAGD,Athabasca,7
68594,167,2331.7,SAGD,Cold Lake,11
68753,405,295.9,SAGD,Athabasca,13
68783,364,750,SAGD,Athabasca,13
69015,233,483.2,SAGD,Cold Lake,11
69030,640,572.5,SAGD,Athabasca,7
69239,351,819.4,SAGD,Cold Lake,13
69290,680,1901.6,SAGD,Athabasca,7
69316,407,225.5,SAGD,Cold Lake,13
69444,381,605.6,SAGD,Cold Lake,13
69520,642,1543.4,SAGD,Athabasca,7
69968,673,1733.7,SAGD,Athabasca,7
70424,151,2200.7,SAGD,Cold Lake,11
70432,341,556.9,SAGD,Cold Lake,13
70472,449,259.2,SAGD,Athabasca,13
70940,471,545.1,SAGD,Cold Lake,13
71038,602,104.8,SAGD,Athabasca,7
71109,150,1692.6,SAGD,Cold Lake,11
71242,672,3394.8,SAGD,Cold Lake,7
71652,805,2826.5,SAGD,Cold Lake,12
71856,614,1795.3,SAGD,Athabasca,7
71911,300,712.9,SAGD,Cold Lake,13
72069,464,159.4,SAGD,Cold Lake,13
72101,605,2022,SAGD,Athabasca,7
72133,730,3926.7,SAGD,Cold Lake,12
72301,171,2104.3,SAGD,Cold Lake,11
72568,238,2094.5,SAGD,Cold Lake,11
73610,297,1197.7,SAGD,Cold Lake,13
73804,232,2293.2,SAGD,Cold Lake,11
73906,643,2062.7,SAGD,Athabasca,7
74203,708,884.1,SAGD,Cold Lake,7
74281,726,4156.5,SAGD,Cold Lake,12
74406,190,2734.3,SAGD,Cold Lake,11
74583,606,2310.3,SAGD,Athabasca,7
74862,325,802,SAGD,Cold Lake,13
74895,224,2864.1,SAGD,Cold Lake,11
75623,724,1322.3,SAGD,Cold Lake,7
75665,785,4953.6,SAGD,Cold Lake,12
75777,743,1437.2,SAGD,Cold Lake,12
75786,288,1115.9,SAGD,Cold Lake,13
75967,502,615.6,SAGD,Cold Lake,13
76023,463,317,SAGD,Cold Lake,13
76415,637,1253.8,SAGD,Athabasca,7
76425,586,1538.8,SAGD,Cold Lake,7
76436,808,4532.4,SAGD,Cold Lake,12
76666,548,27.5,SAGD,Cold Lake,7
76863,327,2630.4,SAGD,Cold Lake,13
77033,254,2271.4,SAGD,Cold Lake,11
77048,287,2573.9,SAGD,Cold Lake,13
77342,912,263,SAGD,Athabasca,14
77446,522,194.4,SAGD,Cold Lake,7
77770,527,315.9,SAGD,Cold Lake,7
78259,561,1030.6,SAGD,Athabasca,7
78453,267,2593.4,SAGD,Cold Lake,13
78880,489,773.6,SAGD,Athabasca,13
78955,757,1146.5,SAGD,Athabasca,12
79367,817,1305,SAGD,Athabasca,12
79371,862,2369.9,SAGD,Athabasca,12
79473,498,79.5,SAGD,Athabasca,13
81063,826,1411,SAGD,Athabasca,12
81085,488,356.7,SAGD,Cold Lake,13
81324,501,3878.4,SAGD,Cold Lake,7
81342,508,386.6,SAGD,Athabasca,7
81388,596,306.8,SAGD,Athabasca,7
81489,555,262,SAGD,Cold Lake,7
81866,493,309,SAGD,Cold Lake,13
81913,845,1643.3,SAGD,Athabasca,12
82083,476,650.3,SAGD,Cold Lake,13
82289,727,915.7,SAGD,Athabasca,7
82910,631,1459,SAGD,Cold Lake,7
82931,759,1056,SAGD,Athabasca,12
83296,834,3076.1,SAGD,Cold Lake,12
83764,566,301.4,SAGD,Cold Lake,7
83900,853,2287.1,SAGD,Athabasca,12
84034,490,84,SAGD,Athabasca,13
84194,535,1538.8,SAGD,Cold Lake,7
84757,731,344.8,SAGD,Athabasca,7
84815,519,709.7,SAGD,Cold Lake,7
85146,863,2765.9,SAGD,Athabasca,12
85169,495,1272.7,SAGD,Cold Lake,13
85961,523,86,SAGD,Athabasca,7
85999,847,3233.1,SAGD,Cold Lake,12
86091,723,544,SAGD,Athabasca,7
86270,562,525.1,SAGD,Cold Lake,7
86664,557,1411.3,SAGD,Cold Lake,7
86916,583,968.8,SAGD,Cold Lake,7
87099,632,597.1,SAGD,Athabasca,7
87537,645,468.7,SAGD,Athabasca,7
87650,576,427.9,SAGD,Cold Lake,7
87785,810,1133.4,SAGD,Athabasca,12
87963,655,1552,SAGD,Cold Lake,7
88052,580,3798,SAGD,Cold Lake,7
88284,671,542.3,SAGD,Athabasca,7
88582,946,230.6,SAGD,Athabasca,14
88889,547,905.1,SAGD,Cold Lake,7
89020,848,1145.8,SAGD,Athabasca,12
89046,594,461.1,SAGD,Cold Lake,7
89138,626,533.6,SAGD,Athabasca,7
89580,656,1426.4,SAGD,Athabasca,7
89925,554,540.9,SAGD,Cold Lake,7
89950,569,1824.2,SAGD,Cold Lake,7
90500,556,635.6,SAGD,Cold Lake,7
91224,745,529.9,SAGD,Athabasca,12
92157,734,1206.1,SAGD,Athabasca,12
92439,670,673.1,SAGD,Athabasca,7
92508,649,497.1,SAGD,Athabasca,7
93728,689,2074.9,SAGD,Cold Lake,7
93760,835,779.7,SAGD,Athabasca,12
93914,806,93.9,SAGD,Athabasca,12
94046,753,1286.1,SAGD,Athabasca,12
94157,704,2337.8,SAGD,Cold Lake,7
94223,833,1015.9,SAGD,Athabasca,12
94495,693,1769.4,SAGD,Cold Lake,7
94554,852,4264.5,SAGD,Cold Lake,12
94663,717,760,SAGD,Athabasca,7
94775,658,1921.1,SAGD,Cold Lake,7
95383,703,1237.5,SAGD,Athabasca,7
95633,782,1450.9,SAGD,Athabasca,12
95640,800,3266.7,SAGD,Cold Lake,12
95856,685,478.9,SAGD,Athabasca,7
95874,950,854.9,SAGD,Athabasca,14
95910,772,1037.6,SAGD,Athabasca,12
95932,697,2446.7,SAGD,Cold Lake,7
96179,722,407.9,SAGD,Athabasca,7
96285,823,3656.5,SAGD,Cold Lake,12
96839,700,518,SAGD,Athabasca,7
97076,851,3373.6,SAGD,Cold Lake,12
97100,715,1330.1,SAGD,Athabasca,7
97463,822,1130.6,SAGD,Athabasca,12
97465,767,1407.8,SAGD,Athabasca,12
97796,831,3300.4,SAGD,Cold Lake,12
97981,864,1628.5,SAGD,Athabasca,12
98946,830,957.6,SAGD,Athabasca,12
99243,818,3593.4,SAGD,Cold Lake,12
99494,699,2322.1,SAGD,Cold Lake,7
99513,832,3424.8,SAGD,Cold Lake,12
99953,771,1663.2,SAGD,Athabasca,12
100183,827,1259.2,SAGD,Athabasca,12
100598,687,1390.3,SAGD,Athabasca,7
100800,748,455.1,SAGD,Athabasca,12
100855,846,3231,SAGD,Cold Lake,12
100912,889,2772.5,SAGD,Cold Lake,12
101310,856,607.1,SAGD,Cold Lake,12
101704,960,136.5,SAGD,Athabasca,14
101751,803,1415.1,SAGD,Athabasca,12
101771,778,842.1,SAGD,Athabasca,12
102441,514,902.8,SAGD,Athabasca,7
102527,720,2544.7,SAGD,Cold Lake,7
102964,811,1959.7,SAGD,Athabasca,12
103124,712,2541.7,SAGD,Cold Lake,7
103768,801,1176.4,SAGD,Athabasca,12
104162,812,1593.6,SAGD,Athabasca,12
105226,756,845.1,SAGD,Athabasca,12
105342,690,1347.6,SAGD,Athabasca,7
105358,859,4845.7,SAGD,Cold Lake,12
106636,663,813.6,SAGD,Athabasca,7
107114,813,1122.6,SAGD,Athabasca,12
107354,922,3024.9,SAGD,Cold Lake,14
107368,877,4116.6,SAGD,Cold Lake,12
107586,921,3089.2,SAGD,Cold Lake,14
107627,615,514.9,SAGD,Athabasca,7
107802,705,312.5,SAGD,Athabasca,7
108268,814,1626.1,SAGD,Athabasca,12
108607,886,4667.1,SAGD,Cold Lake,12
109162,875,5591.7,SAGD,Cold Lake,12
109612,819,1337.5,SAGD,Athabasca,12
110215,905,2895.1,SAGD,Cold Lake,12
110468,467,1232.7,SAGD,Athabasca,13
110476,857,4449.5,SAGD,Cold Lake,12
110679,799,1338.1,SAGD,Athabasca,12
110750,653,557.2,SAGD,Athabasca,7
110904,899,3926.5,SAGD,Cold Lake,12
111414,910,3001.2,SAGD,Cold Lake,12
111528,882,4426.8,SAGD,Cold Lake,12
111620,897,3932.7,SAGD,Cold Lake,12
112338,885,3778.4,SAGD,Cold Lake,12
112340,850,1271.5,SAGD,Athabasca,12
112440,894,3619.2,SAGD,Cold Lake,12
112577,963,3596.6,SAGD,Cold Lake,14
112780,622,1287.4,SAGD,Athabasca,7
113331,711,1704.9,SAGD,Athabasca,7
113366,913,2869.4,SAGD,Cold Lake,14
113384,869,5175.8,SAGD,Cold Lake,12
113567,774,216.4,SAGD,Athabasca,12
113636,694,1403.9,SAGD,Athabasca,7
113659,740,1460.8,SAGD,Athabasca,12
114059,1001,556.3,SAGD,Athabasca,14
114196,707,574.9,SAGD,Athabasca,7
114474,928,3201.8,SAGD,Cold Lake,14
114606,698,1726.1,SAGD,Athabasca,7
114721,873,4232.6,SAGD,Cold Lake,12
114985,969,3990,SAGD,Cold Lake,14
115000,870,4462.9,SAGD,Cold Lake,12
115222,892,5672.7,SAGD,Cold Lake,12
115466,854,4983.6,SAGD,Cold Lake,12
115653,770,1199.7,SAGD,Athabasca,12
115867,872,115.9,SAGD,Athabasca,12
116093,838,116.1,SAGD,Athabasca,12
116475,896,3351,SAGD,Cold Lake,12
116855,925,2661.8,SAGD,Cold Lake,14
117266,775,989.6,SAGD,Athabasca,12
117875,829,117.9,SAGD,Athabasca,12
117884,751,1292.4,SAGD,Athabasca,12
119397,907,187.8,SAGD,Athabasca,14
119849,777,1499.1,SAGD,Athabasca,12
120093,919,3526.4,SAGD,Cold Lake,14
120214,945,3370.1,SAGD,Cold Lake,14
120624,804,252,SAGD,Athabasca,12
121270,930,3659.1,SAGD,Cold Lake,14
121652,584,637.6,SAGD,Athabasca,7
121681,825,548.6,SAGD,Athabasca,12
121842,956,3690.8,SAGD,Cold Lake,14
121923,735,324.7,SAGD,Athabasca,12
122514,836,122.5,SAGD,Athabasca,12
123028,792,1525.3,SAGD,Athabasca,12
124264,714,1279.3,SAGD,Athabasca,7
124316,844,233,SAGD,Athabasca,12
124330,754,1344.7,SAGD,Athabasca,12
127111,999,1043.3,SAGD,Athabasca,14
128836,878,1090.2,SAGD,Athabasca,12
129308,716,634.9,SAGD,Athabasca,7
129703,695,757.6,SAGD,Athabasca,7
129752,1008,998.9,SAGD,Athabasca,14
129953,841,356.9,SAGD,Athabasca,12
130470,1016,2407.1,SAGD,Athabasca,14
132366,1019,1253.7,SAGD,Athabasca,14
132415,874,1167.1,SAGD,Athabasca,12
132813,1031,1835.5,SAGD,Athabasca,14
132990,837,140.5,SAGD,Athabasca,12
133121,879,133.1,SAGD,Athabasca,12
133266,929,3147.8,SAGD,Cold Lake,14
133455,1028,2021.8,SAGD,Athabasca,14
135393,861,135.4,SAGD,Athabasca,12
136027,996,1375.2,SAGD,Athabasca,14
136564,781,1372,SAGD,Athabasca,12
136826,713,1204.2,SAGD,Athabasca,7
136926,1009,939.4,SAGD,Athabasca,14
137297,951,4698.4,SAGD,Cold Lake,14
137576,855,137.6,SAGD,Athabasca,12
138139,1039,11107.9,SAGD,Athabasca,10
138728,761,757.9,SAGD,Athabasca,12
139318,890,1259.6,SAGD,Athabasca,12
140055,982,1422.6,SAGD,Athabasca,14
140146,867,140.1,SAGD,Athabasca,12
140246,766,723.6,SAGD,Athabasca,12
141807,1020,3385.5,SAGD,Athabasca,14
142612,866,142.6,SAGD,Athabasca,12
142810,755,1316.7,SAGD,Athabasca,12
143073,880,1385.3,SAGD,Athabasca,12
144208,842,741,SAGD,Athabasca,12
146723,883,386.3,SAGD,Athabasca,12
147396,915,1371,SAGD,Athabasca,14
148882,909,1376.4,SAGD,Athabasca,14
148958,776,1140.1,SAGD,Athabasca,12
149864,1047,1451.3,SAGD,Athabasca,14
151091,1069,1172,SAGD,Athabasca,10
151201,876,877.4,SAGD,Athabasca,12
152382,1064,835.9,SAGD,Athabasca,10
152886,1033,2829.1,SAGD,Athabasca,14
153230,891,153.3,SAGD,Athabasca,14
154066,940,154.1,SAGD,Athabasca,14
154321,881,1198.1,SAGD,Athabasca,12
154768,949,154.8,SAGD,Athabasca,14
156054,1029,1160.5,SAGD,Athabasca,14
156181,908,156.2,SAGD,Athabasca,14
156436,901,156.4,SAGD,Athabasca,14
157187,916,157.2,SAGD,Athabasca,14
158119,903,158.1,SAGD,Athabasca,14
158655,918,158.7,SAGD,Athabasca,14
158940,973,158.9,SAGD,Athabasca,14
159295,868,700.1,SAGD,Athabasca,12
159620,1046,1039.9,SAGD,Athabasca,14
159810,1004,1142.2,SAGD,Athabasca,14
160640,958,160.6,SAGD,Athabasca,14
161012,1063,1040.2,SAGD,Athabasca,10
161035,1052,1247.8,SAGD,Athabasca,10
162200,943,162.2,SAGD,Athabasca,14
162338,1072,1051.9,SAGD,Athabasca,10
162457,988,162.5,SAGD,Athabasca,14
163056,952,573.3,SAGD,Athabasca,14
