Oil,SteamINJ,SolutionGas,Method,Region,k_14
163244,962,163.2,SAGD,Athabasca,14
163350,947,163.4,SAGD,Athabasca,14
164499,1104,1821.1,SAGD,Athabasca,10
165392,938,165.4,SAGD,Athabasca,14
166216,884,601.8,SAGD,Athabasca,14
166256,1061,514.8,SAGD,Athabasca,10
166298,871,913.8,SAGD,Athabasca,12
166440,994,166.4,SAGD,Athabasca,14
166800,942,166.8,SAGD,Athabasca,14
166833,911,166.8,SAGD,Athabasca,14
166953,1101,2025.6,SAGD,Athabasca,10
167309,987,167.3,SAGD,Athabasca,14
167356,920,167.4,SAGD,Athabasca,14
167764,933,765.7,SAGD,Athabasca,14
167946,898,1328.5,SAGD,Athabasca,14
168446,964,168.4,SAGD,Athabasca,14
169326,900,1615.4,SAGD,Athabasca,14
169930,858,903.3,SAGD,Athabasca,12
171522,1082,1052,SAGD,Athabasca,10
171856,1081,1185.6,SAGD,Athabasca,10
172417,937,172.4,SAGD,Athabasca,14
172477,981,880.8,SAGD,Athabasca,14
173384,917,1427,SAGD,Athabasca,14
173638,927,1313.9,SAGD,Athabasca,14
173793,975,1216.1,SAGD,Athabasca,14
173946,991,174,SAGD,Athabasca,14
174067,984,174.1,SAGD,Athabasca,14
175016,993,175,SAGD,Athabasca,14
175531,887,1026.3,SAGD,Athabasca,14
176548,966,176.5,SAGD,Athabasca,14
177026,948,1267.6,SAGD,Athabasca,14
177512,955,1403,SAGD,Athabasca,14
177615,923,767.6,SAGD,Athabasca,14
177694,1002,2639.7,SAGD,Athabasca,14
178126,1037,636,SAGD,Athabasca,14
178156,959,178.2,SAGD,Athabasca,14
178420,974,178.4,SAGD,Athabasca,14
178454,972,178.5,SAGD,Athabasca,14
178558,1078,1645.5,SAGD,Athabasca,10
178664,914,178.7,SAGD,Athabasca,14
179271,1075,1294.3,SAGD,Athabasca,10
179349,936,179.3,SAGD,Athabasca,14
179357,961,1518.2,SAGD,Athabasca,14
179646,971,179.6,SAGD,Athabasca,14
179790,970,1459.4,SAGD,Athabasca,14
180150,983,180.1,SAGD,Athabasca,14
180278,976,180.3,SAGD,Athabasca,14
180344,989,180.3,SAGD,Athabasca,14
180528,967,180.5,SAGD,Athabasca,14
180806,935,1119.8,SAGD,Athabasca,14
180977,941,181,SAGD,Athabasca,14
181362,986,181.4,SAGD,Athabasca,14
181396,980,181.4,SAGD,Athabasca,14
181446,990,181.4,SAGD,Athabasca,14
181452,953,850.9,SAGD,Athabasca,14
181457,1043,897,SAGD,Athabasca,10
181867,934,842.8,SAGD,Athabasca,14
181972,1068,125,SAGD,Athabasca,10
183138,985,183.1,SAGD,Athabasca,14
183314,902,511.9,SAGD,Athabasca,14
184555,992,184.6,SAGD,Athabasca,14
184573,977,184.6,SAGD,Athabasca,14
184938,926,1144.4,SAGD,Athabasca,14
186168,931,729.3,SAGD,Athabasca,14
186791,906,552.3,SAGD,Athabasca,14
187211,968,1173.7,SAGD,Athabasca,14
188047,932,1135.4,SAGD,Athabasca,14
189037,979,769.8,SAGD,Athabasca,14
189042,944,848.4,SAGD,Athabasca,14
189567,957,1287.6,SAGD,Athabasca,14
189933,1049,1703.7,SAGD,Athabasca,10
190635,954,1001.8,SAGD,Athabasca,14
191093,924,743.5,SAGD,Athabasca,14
191243,1027,3668.2,SAGD,Athabasca,10
193351,1090,743.8,SAGD,Athabasca,10
193953,1022,3374.2,SAGD,Athabasca,10
194094,1000,1356.7,SAGD,Athabasca,14
194687,1012,3853,SAGD,Athabasca,10
194697,1041,804.2,SAGD,Athabasca,10
194705,1095,535.7,SAGD,Athabasca,10
195538,1094,732.5,SAGD,Athabasca,10
195763,1054,1289.6,SAGD,Athabasca,10
195879,1007,4076.5,SAGD,Athabasca,10
196873,939,1300.2,SAGD,Athabasca,14
197006,893,564.1,SAGD,Athabasca,14
197759,1051,514,SAGD,Athabasca,10
198585,1099,517.4,SAGD,Athabasca,10
198776,965,1208.6,SAGD,Athabasca,14
199993,1077,1455.1,SAGD,Athabasca,10
200764,1088,420.4,SAGD,Athabasca,10
201492,1070,175.2,SAGD,Athabasca,10
201567,1093,1179.1,SAGD,Athabasca,10
204387,1036,3607.5,SAGD,Athabasca,10
207785,1044,1688,SAGD,Athabasca,10
208067,1091,1337,SAGD,Athabasca,10
208398,1034,4304.1,SAGD,Athabasca,10
209369,998,923.2,SAGD,Athabasca,14
209440,1014,920.3,SAGD,Athabasca,10
210050,1086,1177.4,SAGD,Athabasca,10
211042,1074,661.6,SAGD,Athabasca,10
212004,1076,1429.9,SAGD,Athabasca,10
212339,1079,1048.4,SAGD,Athabasca,10
212775,1123,2356.8,SAGD,Athabasca,10
213881,1035,3932.9,SAGD,Athabasca,10
214408,1030,4297.2,SAGD,Athabasca,10
216949,1073,251.6,SAGD,Athabasca,10
217188,1111,840.9,SAGD,Athabasca,10
219412,1110,1958,SAGD,Athabasca,10
220858,1060,2564.4,SAGD,Athabasca,10
222104,1055,2948,SAGD,Athabasca,10
222182,1066,3442.1,SAGD,Athabasca,10
222537,1013,4168.2,SAGD,Athabasca,10
222549,1048,2530.2,SAGD,Athabasca,10
222568,1119,869.2,SAGD,Athabasca,10
223162,1024,1052,SAGD,Athabasca,10
223257,432,11234,CSS,Cold Lake,2
223274,1087,719.9,SAGD,Athabasca,10
223287,1059,4458.7,SAGD,Athabasca,10
225048,1124,921.8,SAGD,Athabasca,10
225427,1103,490.4,SAGD,Athabasca,10
225623,1098,432.2,SAGD,Athabasca,10
225778,1025,2257.8,SAGD,Athabasca,10
226163,1038,4663.3,SAGD,Athabasca,10
226449,978,650,SAGD,Athabasca,14
226459,1021,2264.6,SAGD,Athabasca,10
227452,1071,4217.6,SAGD,Athabasca,10
228142,1056,1211.1,SAGD,Athabasca,10
229122,346,13974.2,CSS,Cold Lake,2
229617,1116,832.7,SAGD,Athabasca,10
230798,1112,2801.4,SAGD,Athabasca,10
230872,1011,2308.7,SAGD,Athabasca,10
231557,1125,326.9,SAGD,Athabasca,10
231654,1032,2856.4,SAGD,Athabasca,10
232824,1058,4161.5,SAGD,Athabasca,10
233501,1102,504.1,SAGD,Athabasca,10
233520,1018,4670.4,SAGD,Athabasca,10
236263,1107,574.5,SAGD,Athabasca,10
236878,1114,837.1,SAGD,Athabasca,10
237542,1017,2375.5,SAGD,Athabasca,10
239673,4,2111.3,SAGD,Athabasca,11
240718,1005,4697,SAGD,Athabasca,10
242344,1121,400.3,SAGD,Athabasca,10
242891,1106,440.5,SAGD,Athabasca,10
244107,1003,2441.1,SAGD,Athabasca,10
246410,1023,926.1,SAGD,Athabasca,10
247970,1126,2566.2,SAGD,Athabasca,10
248736,1108,1217.1,SAGD,Athabasca,10
249560,1115,3468.5,SAGD,Athabasca,10
253537,1,997.7,SAGD,Athabasca,5
253632,1122,1152.6,SAGD,Athabasca,10
258684,483,9462.6,CSS,Cold Lake,2
259086,366,16090.6,CSS,Cold Lake,2
259595,1015,1171.5,SAGD,Athabasca,10
260200,1065,880.6,SAGD,Athabasca,10
260584,1062,1368.9,SAGD,Athabasca,10
261362,235,15653.2,CSS,Cold Lake,2
262041,199,16534.1,CSS,Cold Lake,2
278720,1042,6598.4,SAGD,Athabasca,10
279007,1100,1214.2,SAGD,Athabasca,10
281690,380,10836.6,CSS,Cold Lake,2
282735,355,17081,CSS,Cold Lake,2
284788,8,1597.4,SAGD,Athabasca,5
284854,435,11023.8,CSS,Cold Lake,2
286346,242,10952.4,CSS,Cold Lake,2
286637,337,8645.8,CSS,Cold Lake,2
286888,1080,1180.6,SAGD,Athabasca,10
290843,1053,1119.8,SAGD,Athabasca,10
292886,558,17631.4,CSS,Cold Lake,2
300863,12,1952,SAGD,Athabasca,5
318459,496,16831,CSS,Cold Lake,2
322952,431,15303.5,CSS,Cold Lake,2
323875,390,14784.8,CSS,Cold Lake,2
324543,526,12541.6,CSS,Cold Lake,2
324648,139,14960.3,CSS,Cold Lake,3
328905,479,12694.3,CSS,Cold Lake,2
329557,408,16535.3,CSS,Cold Lake,2
331043,423,15970.3,CSS,Cold Lake,2
333165,31,3511.9,SAGD,Athabasca,5
334629,457,14328,CSS,Cold Lake,2
335189,474,17218.7,CSS,Cold Lake,2
338631,362,13887.2,CSS,Cold Lake,2
339391,503,20926.7,CSS,Cold Lake,2
340063,57,2655.1,SAGD,Athabasca,5
340605,398,12088.1,CSS,Cold Lake,2
340974,221,19162.4,CSS,Cold Lake,2
343756,465,16905.4,CSS,Cold Lake,2
349879,189,13850.9,CSS,Cold Lake,3
350477,1092,10691.2,SAGD,Athabasca,10
357131,1097,1374.9,SAGD,Athabasca,10
357432,1084,9828.1,SAGD,Athabasca,10
361939,128,3017.1,SAGD,Athabasca,5
364321,484,14593.9,CSS,Cold Lake,2
365134,500,13936.9,CSS,Cold Lake,2
366664,441,19144.9,CSS,Cold Lake,2
366720,197,18169.7,CSS,Cold Lake,2
370243,1057,9330.7,SAGD,Athabasca,10
370655,513,16998.1,CSS,Cold Lake,2
374803,512,14430.3,CSS,Cold Lake,2
380296,521,14737.3,CSS,Cold Lake,2
382091,1089,10470.9,SAGD,Athabasca,10
383867,1120,1477.9,SAGD,Athabasca,10
388958,518,16088.8,CSS,Cold Lake,2
391681,9,1507.9,SAGD,Athabasca,5
395526,546,18272,CSS,Cold Lake,2
401097,445,18592.9,CSS,Cold Lake,2
401812,516,19144.1,CSS,Cold Lake,2
402879,3,1551.1,SAGD,Athabasca,5
403012,15,1551.6,SAGD,Athabasca,5
404196,1117,766,SAGD,Athabasca,10
404363,510,17802.1,CSS,Cold Lake,2
407088,410,17274.8,CSS,Cold Lake,2
408483,458,14083.9,CSS,Cold Lake,2
409006,1113,1574.6,SAGD,Athabasca,10
412765,532,19615,CSS,Cold Lake,2
412870,6,10524.9,SAGD,Athabasca,3
414706,67,9792.5,SAGD,Athabasca,3
425195,429,16203.9,CSS,Cold Lake,2
429029,505,18670.7,CSS,Cold Lake,2
430531,135,3694.9,SAGD,Athabasca,5
438957,307,19305.9,CSS,Cold Lake,2
439056,141,3592.1,SAGD,Athabasca,5
443256,485,17926.4,CSS,Cold Lake,2
443661,26,1708.2,SAGD,Athabasca,5
444069,5,1709.7,SAGD,Athabasca,5
447220,504,18373.2,CSS,Cold Lake,2
447821,36,14358.6,SAGD,Athabasca,3
450924,99,10468.2,SAGD,Athabasca,3
451189,37,14782.1,SAGD,Athabasca,3
452158,340,19164.7,CSS,Cold Lake,2
453171,314,19586.3,CSS,Cold Lake,2
455434,70,12090.8,SAGD,Athabasca,3
468949,17,1805.4,SAGD,Athabasca,5
469336,181,4418.4,SAGD,Athabasca,5
470552,397,20423.5,CSS,Cold Lake,2
471502,29,1815.3,SAGD,Athabasca,5
472128,35,12475.4,SAGD,Athabasca,3
472927,45,14081.7,SAGD,Athabasca,3
473185,28,1821.7,SAGD,Athabasca,5
474419,22,9541,SAGD,Athabasca,3
475924,184,4578.8,SAGD,Athabasca,5
475965,34,1832.5,SAGD,Athabasca,5
476969,179,4357.7,SAGD,Athabasca,5
478251,72,13221.6,SAGD,Athabasca,3
480514,51,1848.4,SAGD,Athabasca,5
480611,79,16849.1,SAGD,Athabasca,3
481635,436,21258.6,CSS,Cold Lake,2
482863,64,12883.6,SAGD,Athabasca,3
484072,63,13851.7,SAGD,Athabasca,3
485375,354,19649.4,CSS,Cold Lake,2
488564,20,1881,SAGD,Athabasca,5
491565,92,12951.9,SAGD,Athabasca,3
495047,91,14860.3,SAGD,Athabasca,3
509834,23,1962.9,SAGD,Athabasca,5
511525,178,4751.9,SAGD,Athabasca,5
512298,60,11883.3,SAGD,Athabasca,3
513314,406,21541.4,CSS,Cold Lake,2
514644,88,14322.6,SAGD,Athabasca,3
517394,487,19175.8,CSS,Cold Lake,2
522928,30,2013.3,SAGD,Athabasca,5
523032,80,12544.4,SAGD,Athabasca,3
524607,112,17358.6,SAGD,Athabasca,3
524735,454,21030.6,CSS,Cold Lake,2
530167,120,12968.4,SAGD,Athabasca,3
532543,44,2050.3,SAGD,Athabasca,5
533556,201,4156.1,SAGD,Athabasca,5
540723,131,17981.9,SAGD,Athabasca,3
544284,208,4585.5,SAGD,Athabasca,5
551095,73,2121.8,SAGD,Athabasca,5
551916,203,10913,SAGD,Athabasca,3
556935,53,2144.2,SAGD,Athabasca,5
557756,140,928.3,SAGD,Athabasca,5
559203,56,8650.2,SAGD,Athabasca,3
560185,403,20685.9,CSS,Cold Lake,2
560938,115,9414.2,SAGD,Athabasca,3
566322,103,12826.2,SAGD,Athabasca,3
569474,126,12649.8,SAGD,Athabasca,3
569624,214,4923.4,SAGD,Athabasca,4
570812,38,11826.5,SAGD,Athabasca,3
571196,270,5256.7,SAGD,Athabasca,4
571924,96,2201.9,SAGD,Athabasca,5
571949,123,10349.1,SAGD,Athabasca,3
572924,486,18333.5,CSS,Cold Lake,2
575430,98,13875.1,SAGD,Athabasca,3
576879,469,22554.3,CSS,Cold Lake,2
577189,125,13099.6,SAGD,Athabasca,3
582202,49,14079.6,SAGD,Athabasca,3
582715,86,2243.5,SAGD,Athabasca,5
583689,111,2247.2,SAGD,Athabasca,5
590827,269,10349.2,SAGD,Athabasca,4
593873,292,5652.7,SAGD,Athabasca,4
596241,274,11002.9,SAGD,Athabasca,4
599473,268,19763.5,CSS,Cold Lake,8
602368,681,29341.5,CSS,Cold Lake,1
603674,231,9957.1,SAGD,Athabasca,4
604568,621,30782.6,CSS,Cold Lake,1
605247,243,11561,SAGD,Athabasca,4
605750,105,14219,SAGD,Athabasca,3
607758,332,5688.4,SAGD,Athabasca,4
607762,109,2339.8,SAGD,Athabasca,5
610177,281,30561,SAGD,Athabasca,9
611042,52,15866.6,SAGD,Athabasca,3
611677,248,5212.7,SAGD,Athabasca,4
614053,228,11235.3,SAGD,Athabasca,4
617021,133,15139.1,SAGD,Athabasca,3
618104,301,5820.3,SAGD,Athabasca,4
618565,107,11832.3,SAGD,Athabasca,3
619665,315,11267.6,SAGD,Athabasca,4
620079,222,11072.4,SAGD,Athabasca,4
621551,259,5646.3,SAGD,Athabasca,4
623735,54,13922.8,SAGD,Athabasca,3
627829,258,5780.7,SAGD,Athabasca,4
629644,82,16244.6,SAGD,Athabasca,3
638563,166,1230,SAGD,Athabasca,5
639059,261,6193.7,SAGD,Athabasca,4
642031,316,34180.4,SAGD,Athabasca,9
642388,367,5867.3,SAGD,Athabasca,4
645176,692,34813.2,CSS,Cold Lake,1
647000,683,34745.4,CSS,Cold Lake,1
647453,303,17457.1,SAGD,Athabasca,8
647930,194,11081.4,SAGD,Athabasca,4
649094,331,6272.7,SAGD,Athabasca,4
652224,326,32764.6,SAGD,Athabasca,9
653076,74,5620.1,SAGD,Athabasca,4
654546,343,5969.5,SAGD,Athabasca,4
654626,229,11193.9,SAGD,Athabasca,4
655415,349,15796.3,SAGD,Athabasca,8
657037,188,12127.7,SAGD,Athabasca,3
657834,336,5912.4,SAGD,Athabasca,4
658180,416,6096.6,SAGD,Athabasca,4
658322,677,30603.3,CSS,Cold Lake,1
658620,193,1921,SAGD,Athabasca,4
658766,272,11983.5,SAGD,Athabasca,4
659492,749,38911.3,CSS,Cold Lake,1
661134,710,36200.7,CSS,Cold Lake,1
663592,334,6283,SAGD,Athabasca,4
663872,330,34392.1,SAGD,Athabasca,9
665803,389,5927.5,SAGD,Athabasca,4
669358,196,12332.2,SAGD,Athabasca,3
672325,414,6009.2,SAGD,Athabasca,4
674374,285,5982.2,SAGD,Athabasca,4
675707,284,1427,SAGD,Athabasca,4
677488,27,4371.3,SAGD,Athabasca,5
677950,763,35026.3,CSS,Cold Lake,1
679938,402,6065.1,SAGD,Athabasca,4
680889,787,35096.9,CSS,Cold Lake,1
680912,21,12582.2,SAGD,Athabasca,3
682215,682,32491.2,CSS,Cold Lake,1
684912,245,996.1,SAGD,Athabasca,4
686764,401,6675.1,SAGD,Athabasca,4
687240,758,39431.7,CSS,Cold Lake,1
688965,424,6114.4,SAGD,Athabasca,4
690650,688,36789.5,CSS,Cold Lake,1
692145,660,35397.5,CSS,Cold Lake,1
693719,262,12149.1,SAGD,Athabasca,4
699905,212,13945.9,SAGD,Athabasca,3
699915,266,11031.9,SAGD,Athabasca,4
700718,420,19119.9,SAGD,Athabasca,8
701226,210,15089.1,SAGD,Athabasca,8
701500,62,12234.7,SAGD,Athabasca,3
703407,370,6694.1,SAGD,Athabasca,4
704470,373,17237.8,SAGD,Athabasca,8
705611,769,36618.4,CSS,Cold Lake,1
706511,68,9911.8,SAGD,Athabasca,3
708412,453,15405.5,SAGD,Athabasca,8
709230,780,37993.1,CSS,Cold Lake,1
709821,455,20418.7,SAGD,Athabasca,8
710394,807,40783.6,CSS,Cold Lake,1
712045,737,37485.9,CSS,Cold Lake,1
712078,409,30317.7,SAGD,Athabasca,9
712733,77,6417.1,SAGD,Athabasca,4
712797,762,35852.8,CSS,Cold Lake,1
714090,176,23661.7,SAGD,Athabasca,8
715058,230,12626,SAGD,Athabasca,4
716987,795,36870.5,CSS,Cold Lake,1
719824,119,12897.2,SAGD,Athabasca,3
719928,298,14119.2,SAGD,Athabasca,8
720287,400,6784.7,SAGD,Athabasca,4
721138,339,13439.6,SAGD,Athabasca,8
725526,61,13054.2,SAGD,Athabasca,3
726431,132,6469,SAGD,Athabasca,4
727273,746,35064.2,CSS,Cold Lake,1
728024,296,15987.5,SAGD,Athabasca,8
728952,789,35047.7,CSS,Cold Lake,1
730370,668,35651.4,CSS,Cold Lake,1
730612,386,27255.7,SAGD,Athabasca,9
731588,309,15565.3,SAGD,Athabasca,8
733790,719,36530.6,CSS,Cold Lake,1
733876,213,14633.8,SAGD,Athabasca,8
734191,157,7557.2,SAGD,Athabasca,4
734934,108,13246.4,SAGD,Athabasca,3
735527,821,38927.2,CSS,Cold Lake,1
735782,419,6995.9,SAGD,Athabasca,4
736543,90,14060.1,SAGD,Athabasca,3
739425,796,40157.5,CSS,Cold Lake,1
741688,97,14155.7,SAGD,Athabasca,3
742808,791,37984.9,CSS,Cold Lake,1
743182,404,19628.7,SAGD,Athabasca,8
746239,124,6696.3,SAGD,Athabasca,4
746674,329,13065.5,SAGD,Athabasca,8
748280,121,7754.9,SAGD,Athabasca,4
749157,78,9123,SAGD,Athabasca,4
751133,706,35639.1,CSS,Cold Lake,1
752419,382,16573.6,SAGD,Athabasca,8
754284,797,37150.3,CSS,Cold Lake,1
755687,122,8666.7,SAGD,Athabasca,4
755829,816,37724.2,CSS,Cold Lake,1
755831,134,7149.4,SAGD,Athabasca,4
756992,145,11355.7,SAGD,Athabasca,4
758781,85,5920.5,SAGD,Athabasca,4
759436,491,22425.4,SAGD,Athabasca,8
759503,849,35234.5,CSS,Cold Lake,1
759686,750,33852.9,CSS,Cold Lake,1
763328,736,35858.4,CSS,Cold Lake,1
764424,679,34196.4,CSS,Cold Lake,1
767425,289,14083.7,SAGD,Athabasca,8
767605,413,27987.3,SAGD,Athabasca,9
768191,744,35587.7,CSS,Cold Lake,1
768964,728,35870.4,CSS,Cold Lake,1
769422,760,37503.6,CSS,Cold Lake,1
770937,417,29596.2,SAGD,Athabasca,9
774482,421,18699.6,SAGD,Athabasca,8
776183,477,20407.3,SAGD,Athabasca,8
777411,729,38803.1,CSS,Cold Lake,1
777423,820,39448.7,CSS,Cold Lake,1
779540,335,18142.1,SAGD,Athabasca,8
780441,718,35855.9,CSS,Cold Lake,1
782034,809,37070.4,CSS,Cold Lake,1
782410,371,13325.2,SAGD,Athabasca,8
784133,136,8776.8,SAGD,Athabasca,4
785611,374,14504,SAGD,Athabasca,8
786086,815,35712.5,CSS,Cold Lake,1
786425,456,21183.3,SAGD,Athabasca,8
786747,709,38980.9,CSS,Cold Lake,1
787206,741,34978.7,CSS,Cold Lake,1
788124,773,36706.6,CSS,Cold Lake,1
788821,764,34507.7,CSS,Cold Lake,1
789663,725,38595.2,CSS,Cold Lake,1
791766,779,38688.8,CSS,Cold Lake,1
792894,418,19905.9,SAGD,Athabasca,8
792969,765,42449,CSS,Cold Lake,1
793305,291,14976.9,SAGD,Athabasca,8
795135,738,39210.1,CSS,Cold Lake,1
795461,170,8479.8,SAGD,Athabasca,4
797940,739,39592,CSS,Cold Lake,1
798011,742,35280.9,CSS,Cold Lake,1
798024,443,28745,SAGD,Athabasca,9
798303,427,18000,SAGD,Athabasca,8
798587,460,18763,SAGD,Athabasca,8
799449,509,37691.9,SAGD,Athabasca,1
800801,802,36690.6,CSS,Cold Lake,1
809244,798,43092.7,CSS,Cold Lake,1
811059,784,42000.5,CSS,Cold Lake,1
812360,794,36940,CSS,Cold Lake,1
812380,752,38633.4,CSS,Cold Lake,1
812712,793,39864.4,CSS,Cold Lake,1
813615,384,15274,SAGD,Athabasca,8
814713,165,8167,SAGD,Athabasca,4
815068,786,41189.9,CSS,Cold Lake,1
817193,481,22495.2,SAGD,Athabasca,8
818894,356,15343.7,SAGD,Athabasca,8
819774,450,31366.7,SAGD,Athabasca,9
823769,462,20733.7,SAGD,Athabasca,8
826255,396,13039.4,SAGD,Athabasca,8
829579,517,2809.1,SAGD,Athabasca,6
836541,783,39934.8,CSS,Cold Lake,1
837872,220,30114.9,SAGD,Athabasca,9
841730,478,19653.3,SAGD,Athabasca,8
852174,475,836.9,SAGD,Athabasca,6
852367,174,8994.5,SAGD,Athabasca,4
854520,470,24280.7,SAGD,Athabasca,9
857446,824,38960.5,CSS,Cold Lake,1
859078,473,982,SAGD,Athabasca,6
863651,545,2637.1,SAGD,Athabasca,6
868177,530,2577.3,SAGD,Athabasca,6
874952,308,23679.9,SAGD,Athabasca,9
880522,499,18219.9,SAGD,Athabasca,8
881090,183,11616.4,SAGD,Athabasca,8
887850,209,16572.3,SAGD,Athabasca,8
888807,511,932,SAGD,Athabasca,6
898502,216,24508.7,SAGD,Athabasca,9
902566,507,1697.8,SAGD,Athabasca,6
902666,492,2791.6,SAGD,Athabasca,6
903511,257,31245.3,SAGD,Athabasca,9
903621,246,31600.9,SAGD,Athabasca,9
904658,568,2732.6,SAGD,Athabasca,6
905018,570,2059.4,SAGD,Athabasca,6
907846,543,2598.6,SAGD,Athabasca,6
910059,237,10073.2,SAGD,Athabasca,4
915689,279,25674.4,SAGD,Athabasca,9
916633,539,1196.5,SAGD,Athabasca,6
918426,538,1943.5,SAGD,Athabasca,6
919293,542,909.3,SAGD,Athabasca,6
921482,525,936.3,SAGD,Athabasca,6
926721,551,2312.5,SAGD,Athabasca,6
928839,537,1200.9,SAGD,Athabasca,6
938973,589,3009.7,SAGD,Athabasca,6
939048,577,2450,SAGD,Athabasca,6
942844,369,28166,SAGD,Athabasca,9
945962,592,1716.8,SAGD,Athabasca,6
953237,256,10587.6,SAGD,Athabasca,8
957597,564,1196.1,SAGD,Athabasca,6
958259,552,2857.9,SAGD,Athabasca,6
958867,591,2805.3,SAGD,Athabasca,6
959276,549,1740.5,SAGD,Athabasca,6
963591,581,1373.9,SAGD,Athabasca,6
967761,393,25581.3,SAGD,Athabasca,9
969468,601,1391.7,SAGD,Athabasca,6
972473,573,2770.7,SAGD,Athabasca,6
973306,593,2084,SAGD,Athabasca,6
973480,357,31381,SAGD,Athabasca,9
975462,571,1860.2,SAGD,Athabasca,6
976581,559,2025.2,SAGD,Athabasca,6
977074,567,2009.4,SAGD,Athabasca,6
977606,616,3416.1,SAGD,Athabasca,6
977679,294,23322.5,SAGD,Athabasca,9
980955,578,2124,SAGD,Athabasca,6
981506,205,14622.1,SAGD,Athabasca,8
984026,433,27010.8,SAGD,Athabasca,9
986511,310,22210.8,SAGD,Athabasca,9
986583,565,2645.8,SAGD,Athabasca,6
986883,249,18901.5,SAGD,Athabasca,8
987686,612,2850.4,SAGD,Athabasca,6
988365,608,2289.9,SAGD,Athabasca,6
988444,590,1898.3,SAGD,Athabasca,6
991458,624,2224,SAGD,Athabasca,6
993270,219,14758.5,SAGD,Athabasca,8
994505,646,2291.7,SAGD,Athabasca,6
994948,611,2639.6,SAGD,Athabasca,6
996124,603,1830.1,SAGD,Athabasca,6
998642,378,30074.8,SAGD,Athabasca,9
999664,588,3038,SAGD,Athabasca,6
1000587,664,2232.9,SAGD,Athabasca,6
1004820,295,22700.6,SAGD,Athabasca,9
1005086,595,2741.8,SAGD,Athabasca,6
1005856,302,32971.1,SAGD,Athabasca,9
1006016,412,29663.9,SAGD,Athabasca,9
1006853,251,14076.4,SAGD,Athabasca,8
1010452,286,11587.7,SAGD,Athabasca,8
1012370,277,18344.6,SAGD,Athabasca,8
1015998,619,2018.7,SAGD,Athabasca,6
1017416,271,20494,SAGD,Athabasca,8
1020749,676,1822.1,SAGD,Athabasca,6
1021099,609,2666.8,SAGD,Athabasca,6
1024571,618,2188.5,SAGD,Athabasca,6
1025741,282,24327.2,SAGD,Athabasca,9
1028303,638,2766.9,SAGD,Athabasca,6
1029508,617,2715.1,SAGD,Athabasca,6
1033252,623,2388.4,SAGD,Athabasca,6
1038091,641,2852.7,SAGD,Athabasca,6
1041683,651,2139.7,SAGD,Athabasca,6
1047402,361,23964.3,SAGD,Athabasca,9
1047893,319,35148.6,SAGD,Athabasca,9
1049458,333,14637,SAGD,Athabasca,8
1057806,324,35513.7,SAGD,Athabasca,9
1072813,348,38571,SAGD,Athabasca,9
1079974,399,34561.7,SAGD,Athabasca,9
1147987,506,48263.1,SAGD,Athabasca,1
